t_ms,r,g,b
0,140.326,128.326,118.326
33,139.444,125.723,117.712
67,138.730,123.616,117.215
100,138.313,122.369,116.925
133,138.237,122.109,116.873
167,138.457,122.712,117.029
200,138.866,123.876,117.316
233,139.341,125.246,117.646
267,139.786,126.542,117.953
300,140.165,127.646,118.214
333,140.506,128.612,118.453
367,140.873,129.604,118.718
400,141.325,130.779,119.053
433,141.877,132.180,119.468
467,142.474,133.671,119.921
500,143.000,134.948,120.325
533,143.308,135.636,120.571
567,143.273,135.413,120.563
600,142.839,134.145,120.259
633,142.048,131.955,119.687
667,141.032,129.212,118.942
700,139.985,126.437,118.167
733,139.105,124.156,117.506
767,138.536,122.751,117.069
800,138.341,122.363,116.902
833,138.484,122.881,116.986
867,138.864,124.007,117.247
900,139.353,125.382,117.596
933,139.845,126.715,117.955
967,140.291,127.875,118.288
1000,140.699,128.898,118.600
1033,141.116,129.929,118.920
1067,141.586,131.112,119.279
1100,142.115,132.478,119.676
1133,142.644,133.889,120.067
1167,143.061,135.047,120.368
1200,143.231,135.585,120.482
1233,143.045,135.199,120.329
1267,142.465,133.773,119.885
1300,141.550,131.446,119.194
1333,140.447,128.605,118.369
1367,139.361,125.778,117.559
1400,138.489,123.494,116.912
1433,137.973,122.130,116.534
1467,137.864,121.818,116.459
1500,138.110,122.428,116.651
1533,138.591,123.644,117.019
1567,139.162,125.090,117.455
1600,139.703,126.461,117.868
1633,140.155,127.618,118.213
1667,140.526,128.595,118.492
1700,140.868,129.542,118.742
1733,141.237,130.614,119.004
1767,141.654,131.861,119.294
1800,142.081,133.162,119.586
1833,142.421,134.235,119.814
1867,142.553,134.728,119.893
1900,142.375,134.345,119.752
1933,141.851,132.969,119.366
1967,141.033,130.735,118.775
2000,140.057,128.015,118.077
2033,139.107,125.322,117.407
2067,138.365,123.165,116.892
2100,137.956,121.905,116.621
2133,137.915,121.658,116.615
2167,138.184,122.290,116.831
2200,138.644,123.484,117.178
2233,139.154,124.870,117.553
2267,139.610,126.158,117.881
2300,139.969,127.223,118.132
2333,140.257,128.118,118.326
2367,140.541,129.010,118.517
2400,140.892,130.068,118.759
2433,141.337,131.347,119.075
2467,141.835,132.723,119.436
2500,142.284,133.911,119.770
2533,142.548,134.541,119.978
2567,142.507,134.302,119.971
2600,142.108,133.058,119.706
2633,141.385,130.927,119.207
2667,140.462,128.268,118.559
2700,139.519,125.590,117.891
2733,138.739,123.403,117.333
2767,138.253,122.076,116.981
2800,138.113,121.740,116.871
2833,138.277,122.277,116.977
2867,138.644,123.389,117.226
2900,139.091,124.723,117.533
2933,139.524,125.998,117.832
2967,139.905,127.096,118.099
3000,140.258,128.068,118.353
3033,140.643,129.072,118.639
3067,141.113,130.261,118.994
3100,141.678,131.672,119.424
3133,142.281,133.165,119.885
3167,142.803,134.437,120.286
3200,143.097,135.110,120.517
3233,143.040,134.865,120.488
3267,142.580,133.572,120.157
3300,141.763,131.358,119.558
3333,140.727,128.598,118.791
3367,139.670,125.818,118.004
3400,138.793,123.545,117.344
3433,138.244,122.165,116.923
3467,138.083,121.819,116.788
3500,138.274,122.393,116.915
3533,138.711,123.584,117.229
3567,139.260,125.029,117.633
3600,139.812,126.432,118.047
3633,140.312,127.657,118.428
3667,140.764,128.737,118.778
3700,141.215,129.814,119.126
3733,141.708,131.033,119.501
3767,142.251,132.428,119.906
3800,142.791,133.863,120.300
3833,143.219,135.046,120.605
3867,143.404,135.616,120.726
3900,143.243,135.271,120.590
3933,142.701,133.898,120.175
3967,141.837,131.640,119.528
4000,140.799,128.881,118.759
4033,139.787,126.146,118.015
4067,138.997,123.961,117.441
4100,138.564,122.697,117.137
4133,138.532,122.480,117.131
4167,138.848,123.176,117.384
4200,139.386,124.468,117.800
4233,140.001,125.975,118.271
4267,140.574,127.396,118.708
4300,141.048,128.591,119.065
4333,141.434,129.600,119.352
4367,141.791,130.578,119.608
4400,142.178,131.686,119.880
4433,142.622,132.975,120.188
4467,143.085,134.327,120.509
4500,143.474,135.464,120.779
4533,143.665,136.031,120.909
4567,143.554,135.727,120.828
4600,143.099,134.434,120.505
4633,142.347,132.279,119.974
4667,141.430,129.630,119.330
4700,140.528,126.996,118.702
4733,139.820,124.882,118.216
4767,139.429,123.649,117.958
4800,139.391,123.415,117.952
4833,139.654,124.048,118.157
4867,140.099,125.235,118.486
4900,140.594,126.611,118.843
4933,141.038,127.891,119.156
4967,141.391,128.954,119.399
5000,141.683,129.856,119.597
5033,141.982,130.766,119.801
5067,142.356,131.847,120.066
5100,142.830,133.154,120.410
5133,143.357,134.560,120.801
5167,143.831,135.770,121.162
5200,144.111,136.414,121.387
5233,144.074,136.173,121.384
5267,143.662,134.912,121.110
5300,142.911,132.747,120.585
5333,141.946,130.040,119.899
5367,140.951,127.303,119.183
5400,140.113,125.049,118.571
5433,139.569,123.654,118.165
5467,139.374,123.254,118.007
5500,139.493,123.735,118.072
5533,139.825,124.800,118.292
5567,140.247,126.096,118.580
5600,140.664,127.343,118.870
5633,141.035,128.416,119.134
5667,141.378,129.364,119.385
5700,141.749,130.340,119.664
5733,142.196,131.490,120.004
5767,142.727,132.851,120.408
5800,143.281,134.279,120.827
5833,143.740,135.471,121.174
5867,143.959,136.053,121.340
5900,143.820,135.709,121.236
5933,143.275,134.314,120.829
5967,142.375,132.000,120.156
6000,141.265,129.147,119.323
6033,140.144,126.285,118.481
6067,139.215,123.943,117.778
6100,138.628,122.507,117.327
6133,138.438,122.115,117.172
6167,138.608,122.650,117.287
6200,139.025,123.805,117.589
6233,139.552,125.211,117.980
6267,140.075,126.569,118.373
6300,140.534,127.738,118.722
6333,140.936,128.750,119.028
6367,141.323,129.750,119.321
6400,141.746,130.883,119.632
6433,142.213,132.189,119.968
6467,142.678,133.536,120.294
6500,143.036,134.638,120.536
6533,143.164,135.136,120.605
6567,142.958,134.736,120.430
6600,142.386,133.324,119.991
6633,141.507,131.042,119.333
6667,140.467,128.270,118.566
6700,139.461,125.533,117.831
6733,138.678,123.349,117.269
6767,138.251,122.085,116.974
6800,138.220,121.863,116.971
6833,138.526,122.547,117.216
6867,139.045,123.815,117.615
6900,139.632,125.292,118.059
6933,140.170,126.677,118.461
6967,140.607,127.835,118.782
7000,140.960,128.811,119.034
7033,141.291,129.766,119.264
7067,141.665,130.862,119.521
7100,142.110,132.156,119.829
7133,142.591,133.531,120.166
7167,143.012,134.706,120.465
7200,143.247,135.323,120.636
7233,143.187,135.078,120.602
7267,142.785,133.846,120.328
7300,142.084,131.751,119.844
7333,141.210,129.155,119.238
7367,140.342,126.565,118.638
7400,139.656,124.486,118.168
7433,139.279,123.279,117.918
7467,139.249,123.065,117.913
7500,139.517,123.717,118.117
7533,139.970,124.926,118.447
7567,140.482,126.334,118.814
7600,140.954,127.657,119.147
7633,141.350,128.778,119.425
7667,141.698,129.753,119.671
7700,142.066,130.748,119.936
7733,142.519,131.925,120.271
7767,143.075,133.332,120.689
7800,143.684,134.836,121.153
7833,144.233,136.139,121.580
7867,144.579,136.867,121.862
7900,144.595,136.697,121.905
7933,144.224,135.494,121.662
7967,143.502,133.376,121.158
8000,142.560,130.708,120.485
8033,141.583,128.006,119.779
8067,140.764,125.790,119.178
8100,140.247,124.438,118.790
8133,140.088,124.090,118.660
8167,140.255,124.634,118.765
8200,140.645,125.774,119.036
8233,141.137,127.154,119.385
8267,141.628,128.489,119.742
8300,142.073,129.652,120.073
8333,142.487,130.684,120.388
8367,142.918,131.732,120.721
8400,143.413,132.942,121.103
8433,143.975,134.346,121.533
8467,144.547,135.802,121.965
8500,145.010,137.009,122.311
8533,145.225,137.595,122.467
8567,145.076,137.250,122.351
8600,144.523,135.853,121.931
8633,143.620,133.542,121.251
8667,142.514,130.699,120.421
8700,141.407,127.856,119.591
8733,140.503,125.542,118.911
8767,139.947,124.139,118.490
8800,139.792,123.784,118.369
8833,139.994,124.352,118.515
8867,140.437,125.532,118.844
8900,140.978,126.950,119.249
8933,141.500,128.305,119.643
8967,141.944,129.454,119.978
9000,142.313,130.430,120.254
9033,142.656,131.380,120.505
9067,143.025,132.454,120.766
9100,143.436,133.695,121.049
9133,143.845,134.979,121.323
9167,144.155,136.023,121.520
9200,144.242,136.472,121.554
9233,144.007,136.031,121.355
9267,143.415,134.588,120.901
9300,142.523,132.281,120.237
9333,141.473,129.487,119.466
9367,140.454,126.724,118.727
9400,139.653,124.508,118.153
9433,139.197,123.200,117.835
9467,139.122,122.919,117.796
9500,139.371,123.529,117.992
9533,139.819,124.711,118.328
9567,140.324,126.090,118.699
9600,140.775,127.372,119.022
9633,141.125,128.425,119.264
9667,141.395,129.301,119.442
9700,141.652,130.165,119.607
9733,141.964,131.182,119.811
9767,142.361,132.409,120.079
9800,142.804,133.729,120.387
9833,143.197,134.858,120.666
9867,143.408,135.434,120.822
9900,143.324,135.147,120.773
9933,142.893,133.869,120.478
9967,142.153,131.718,119.963
10000,141.230,129.056,119.316
10033,140.300,126.388,118.662
10067,139.542,124.222,118.129
10100,139.086,122.921,117.808
10133,138.976,122.613,117.730
10167,139.167,123.173,117.864
10200,139.552,124.300,118.133
10233,140.007,125.638,118.449
10267,140.437,126.908,118.747
10300,140.807,127.991,119.004
10333,141.142,128.942,119.242
10367,141.508,129.925,119.510
10400,141.964,131.096,119.853
10433,142.523,132.498,120.278
10467,143.133,133.995,120.747
10500,143.674,135.284,121.169
10533,144.002,135.988,121.437
10567,143.991,135.787,121.454
10600,143.584,134.544,121.178
10633,142.823,132.384,120.636
10667,141.841,129.676,119.924
10700,140.831,126.939,119.184
10733,139.989,124.699,118.560
10767,139.462,123.339,118.162
10800,139.309,123.000,118.037
10833,139.498,123.569,118.162
10867,139.924,124.749,118.467
10900,140.461,126.179,118.859
10933,141.002,127.571,119.263
10967,141.498,128.790,119.641
11000,141.956,129.875,119.997
11033,142.423,130.968,120.361
11067,142.944,132.214,120.764
11100,143.523,133.644,121.205
11133,144.102,135.119,121.639
11167,144.569,136.341,121.983
11200,144.788,136.943,122.137
11233,144.649,136.621,122.024
11267,144.115,135.258,121.617
11300,143.244,132.994,120.962
11333,142.185,130.213,120.171
11367,141.140,127.446,119.394
11400,140.308,125.220,118.778
11433,139.830,123.913,118.428
11467,139.756,123.655,118.380
11500,140.036,124.317,118.595
11533,140.548,125.584,118.985
11567,141.148,127.078,119.440
11600,141.716,128.496,119.870
11633,142.192,129.696,120.230
11667,142.585,130.714,120.521
11700,142.946,131.699,120.781
11733,143.333,132.807,121.050
11767,143.764,134.087,121.345
11800,144.203,135.418,121.641
11833,144.553,136.519,121.870
11867,144.692,137.037,121.948
11900,144.520,136.675,121.804
11933,143.999,135.319,121.413
11967,143.182,133.101,120.815
12000,142.205,130.395,120.110
12033,141.252,127.713,119.429
12067,140.506,125.565,118.903
12100,140.090,124.310,118.619
12133,140.041,124.068,118.600
12167,140.301,124.701,118.801
12200,140.749,125.894,119.132
12233,141.248,127.276,119.491
12267,141.690,128.558,119.801
12300,142.034,129.615,120.033
12333,142.306,130.500,120.209
12367,142.574,131.381,120.382
12400,142.908,132.426,120.604
12433,143.334,133.688,120.900
12467,143.814,135.048,121.242
12500,144.243,136.216,121.557
12533,144.487,136.827,121.745
12567,144.427,136.566,121.718
12600,144.007,135.298,121.434
12633,143.263,133.142,120.916
12667,142.319,130.458,120.250
12700,141.355,127.753,119.563
12733,140.552,125.537,118.987
12767,140.045,124.180,118.617
12800,139.882,123.814,118.489
12833,140.025,124.319,118.578
12867,140.370,125.398,118.810
12900,140.794,126.697,119.100
12933,141.205,127.938,119.383
12967,141.563,128.999,119.634
13000,141.893,129.934,119.872
13033,142.254,130.900,120.141
13067,142.700,132.050,120.480
13100,143.241,133.421,120.894
13133,143.820,134.873,121.339
13167,144.317,136.103,121.724
13200,144.585,136.733,121.939
13233,144.503,136.444,121.893
13267,144.016,135.106,121.545
13300,143.172,132.847,120.927
13333,142.109,130.040,120.143
13367,141.023,127.212,119.336
13400,140.117,124.891,118.657
13433,139.538,123.462,118.216
13467,139.346,123.065,118.059
13500,139.505,123.588,118.164
13533,139.909,124.727,118.454
13567,140.424,126.119,118.834
13600,140.942,127.469,119.223
13633,141.406,128.639,119.578
13667,141.822,129.664,119.901
13700,142.235,130.686,120.220
13733,142.690,131.849,120.565
13767,143.193,133.188,120.939
13800,143.693,134.567,121.301
13833,144.079,135.694,121.572
13867,144.223,136.206,121.659
13900,144.020,135.805,121.488
13933,143.434,134.376,121.036
13967,142.526,132.062,120.351
14000,141.445,129.246,119.544
14033,140.389,126.456,118.762
14067,139.553,124.216,118.149
14100,139.076,122.898,117.804
14133,139.000,122.629,117.758
14167,139.271,123.274,117.969
14200,139.765,124.515,118.345
14233,140.337,125.974,118.775
14267,140.867,127.348,119.171
14300,141.299,128.499,119.488
14333,141.645,129.465,119.735
14367,141.961,130.403,119.951
14400,142.310,131.472,120.185
14433,142.717,132.725,120.456
14467,143.146,134.045,120.741
14500,143.501,135.153,120.976
14533,143.661,135.693,121.073
14567,143.521,135.366,120.960
14600,143.040,134.053,120.607
14633,142.265,131.882,120.049
14667,141.327,129.221,119.380
14700,140.407,126.578,118.729
14733,139.683,124.460,118.222
14767,139.280,123.226,117.946
14800,139.234,122.996,117.926
14833,139.491,123.636,118.119
14867,139.935,124.835,118.439
14900,140.431,126.227,118.791
14933,140.880,127.528,119.101
14967,141.242,128.615,119.345
15000,141.547,129.547,119.547
15033,141.862,130.489,119.759
15067,142.256,131.608,120.035
15100,142.752,132.957,120.393
15133,143.307,134.407,120.803
15167,143.812,135.667,121.184
15200,144.125,136.364,121.434
15233,144.126,136.180,121.459
15267,143.754,134.978,121.216
15300,143.047,132.876,120.726
15333,142.130,130.236,120.077
15367,141.184,127.567,119.400
15400,140.397,125.385,118.831
15433,139.908,124.063,118.470
15467,139.770,123.739,118.358
15500,139.948,124.296,118.473
15533,140.340,125.440,118.744
15567,140.824,126.816,119.085
15600,141.304,128.143,119.429
15633,141.738,129.297,119.748
15667,142.146,130.326,120.056
15700,142.581,131.381,120.392
15733,143.093,132.612,120.789
15767,143.688,134.051,121.250
15800,144.306,135.556,121.726
15833,144.827,136.824,122.129
15867,145.108,137.479,122.350
15900,145.029,137.206,122.301
15933,144.542,135.879,121.946
15967,143.697,133.630,121.324
16000,142.640,130.838,120.540
16033,141.569,128.034,119.744
16067,140.687,125.745,119.085
16100,140.143,124.358,118.675
16133,139.993,124.010,118.557
16167,140.199,124.584,118.706
16200,140.647,125.772,119.039
16233,141.201,127.206,119.456
16267,141.746,128.586,119.871
16300,142.223,129.772,120.238
16333,142.637,130.794,120.558
16367,143.032,131.798,120.859
16400,143.456,132.929,121.175
