t_ms,r,g,b
0,140.326,128.326,118.326
33,139.762,126.596,117.943
67,139.235,125.003,117.581
100,138.788,123.680,117.268
133,138.454,122.724,117.030
167,138.255,122.190,116.880
200,138.196,122.081,116.826
233,138.268,122.358,116.862
267,138.452,122.946,116.979
300,138.719,123.749,117.159
333,139.041,124.667,117.384
367,139.390,125.613,117.635
400,139.744,126.525,117.899
433,140.092,127.371,118.165
467,140.428,128.151,118.428
500,140.755,128.889,118.688
533,141.081,129.625,118.947
567,141.411,130.398,119.205
600,141.749,131.233,119.462
633,142.089,132.128,119.712
667,142.419,133.053,119.947
700,142.718,133.944,120.150
733,142.957,134.715,120.303
767,143.107,135.264,120.389
800,143.141,135.498,120.390
833,143.039,135.341,120.295
867,142.793,134.752,120.102
900,142.408,133.739,119.816
933,141.907,132.354,119.453
967,141.322,130.696,119.038
1000,140.699,128.898,118.600
1033,140.085,127.108,118.171
1067,139.527,125.475,117.782
1100,139.063,124.126,117.459
1133,138.722,123.153,117.218
1167,138.517,122.602,117.068
1200,138.447,122.471,117.007
1233,138.496,122.713,117.026
1267,138.640,123.250,117.110
1300,138.851,123.985,117.239
1333,139.102,124.819,117.399
1367,139.369,125.671,117.575
1400,139.638,126.485,117.759
1433,139.903,127.236,117.949
1467,140.169,127.932,118.149
1500,140.443,128.604,118.362
1533,140.736,129.296,118.595
1567,141.057,130.046,118.849
1600,141.405,130.878,119.123
1633,141.771,131.786,119.406
1667,142.136,132.732,119.682
1700,142.470,133.646,119.927
1733,142.739,134.433,120.117
1767,142.906,134.988,120.226
1800,142.941,135.210,120.234
1833,142.824,135.025,120.130
1867,142.547,134.395,119.913
1900,142.123,133.330,119.593
1933,141.579,131.891,119.193
1967,140.956,130.184,118.745
2000,140.306,128.348,118.285
2033,139.682,126.538,117.852
2067,139.134,124.905,117.478
2100,138.701,123.577,117.190
2133,138.408,122.642,117.002
2167,138.263,122.143,116.916
2200,138.258,122.068,116.925
2233,138.368,122.365,117.009
2267,138.564,122.947,117.148
2300,138.812,123.710,117.317
2333,139.079,124.556,117.496
2367,139.344,125.400,117.673
2400,139.594,126.190,117.840
2433,139.829,126.907,118.003
2467,140.060,127.565,118.170
2500,140.303,128.203,118.353
2533,140.576,128.871,118.567
2567,140.891,129.614,118.817
2600,141.251,130.457,119.104
2633,141.648,131.395,119.417
2667,142.057,132.386,119.736
2700,142.444,133.353,120.034
2733,142.766,134.196,120.277
2767,142.981,134.800,120.433
2800,143.051,135.059,120.474
2833,142.950,134.894,120.385
2867,142.669,134.263,120.161
2900,142.221,133.179,119.815
2933,141.636,131.704,119.372
2967,140.962,129.952,118.870
3000,140.258,128.068,118.353
3033,139.585,126.216,117.868
3067,138.999,124.552,117.453
3100,138.545,123.211,117.139
3133,138.250,122.282,116.944
3167,138.120,121.807,116.869
3200,138.143,121.771,116.902
3233,138.292,122.115,117.020
3267,138.526,122.745,117.192
3300,138.806,123.552,117.388
3333,139.093,124.428,117.581
3367,139.360,125.286,117.754
3400,139.594,126.071,117.900
3433,139.795,126.766,118.023
3467,139.980,127.390,118.137
3500,140.170,127.987,118.262
3533,140.391,128.616,118.416
3567,140.662,129.328,118.617
3600,140.995,130.156,118.869
3633,141.382,131.098,119.167
3667,141.804,132.115,119.493
3700,142.223,133.128,119.817
3733,142.594,134.031,120.101
3767,142.867,134.705,120.308
3800,142.995,135.037,120.402
3833,142.947,134.938,120.359
3867,142.708,134.362,120.171
3900,142.286,133.316,119.844
3933,141.710,131.863,119.404
3967,141.031,130.117,118.890
4000,140.311,128.230,118.352
4033,139.618,126.369,117.840
4067,139.016,124.702,117.403
4100,138.557,123.366,117.079
4133,138.274,122.461,116.891
4167,138.176,122.028,116.843
4200,138.254,122.056,116.925
4233,138.475,122.483,117.110
4267,138.796,123.209,117.365
4300,139.170,124.118,117.650
4333,139.550,125.096,117.933
4367,139.902,126.046,118.187
4400,140.206,126.910,118.400
4433,140.461,127.665,118.572
4467,140.680,128.329,118.718
4500,140.889,128.950,118.858
4533,141.116,129.591,119.017
4567,141.389,130.309,119.217
4600,141.726,131.145,119.471
4633,142.127,132.104,119.782
4667,142.578,133.152,120.135
4700,143.043,134.213,120.504
4733,143.478,135.181,120.851
4767,143.828,135.934,121.135
4800,144.044,136.353,121.317
4833,144.085,136.342,121.363
4867,143.928,135.848,121.258
4900,143.575,134.869,121.001
4933,143.049,133.464,120.612
4967,142.398,131.742,120.128
5000,141.683,129.856,119.597
5033,140.976,127.978,119.073
5067,140.346,126.277,118.611
5100,139.852,124.901,118.254
5133,139.534,123.955,118.034
5167,139.409,123.488,117.963
5200,139.472,123.494,118.033
5233,139.692,123.912,118.222
5267,140.028,124.644,118.494
5300,140.426,125.569,118.809
5333,140.835,126.567,119.125
5367,141.215,127.536,119.411
5400,141.537,128.406,119.647
5433,141.793,129.152,119.826
5467,141.991,129.785,119.956
5500,142.155,130.351,120.057
5533,142.316,130.913,120.155
5567,142.503,131.534,120.276
5600,142.742,132.259,120.438
5633,143.039,133.102,120.651
5667,143.388,134.036,120.909
5700,143.762,134.993,121.192
5733,144.119,135.871,121.468
5767,144.408,136.550,121.698
5800,144.579,136.910,121.840
5833,144.586,136.853,121.860
5867,144.402,136.317,121.733
5900,144.020,135.297,121.455
5933,143.457,133.842,121.035
5967,142.754,132.056,120.506
6000,141.970,130.088,119.911
6033,141.174,128.107,119.305
6067,140.436,126.286,118.741
6100,139.821,124.777,118.270
6133,139.375,123.690,117.928
6167,139.124,123.085,117.736
6200,139.068,122.962,117.694
6233,139.187,123.267,117.787
6267,139.440,123.905,117.982
6300,139.777,124.759,118.241
6333,140.146,125.706,118.522
6367,140.501,126.640,118.789
6400,140.808,127.487,119.014
6433,141.052,128.211,119.185
6467,141.234,128.819,119.303
6500,141.370,129.350,119.381
6533,141.489,129.863,119.441
6567,141.621,130.420,119.508
6600,141.790,131.070,119.605
6633,142.011,131.831,119.744
6667,142.282,132.682,119.926
6700,142.584,133.562,120.141
6733,142.884,134.379,120.362
6767,143.136,135.018,120.556
6800,143.293,135.362,120.686
6833,143.312,135.313,120.718
6867,143.161,134.810,120.626
6900,142.829,133.838,120.397
6933,142.327,132.443,120.038
6967,141.686,130.721,119.572
7000,140.960,128.811,119.034
7033,140.211,126.879,118.474
7067,139.506,125.094,117.942
7100,138.910,123.606,117.489
7133,138.470,122.530,117.151
7167,138.218,121.928,116.956
7200,138.162,121.808,116.911
7233,138.286,122.125,117.007
7267,138.559,122.789,117.219
7300,138.935,123.688,117.513
7333,139.365,124.702,117.851
7367,139.801,125.726,118.196
7400,140.209,126.681,118.518
7433,140.565,127.527,118.797
7467,140.865,128.261,119.028
7500,141.117,128.917,119.217
7533,141.340,129.544,119.377
7567,141.561,130.201,119.528
7600,141.800,130.932,119.689
7633,142.073,131.756,119.874
7667,142.379,132.654,120.087
7700,142.707,133.571,120.320
7733,143.029,134.422,120.557
7767,143.306,135.098,120.771
7800,143.498,135.490,120.930
7833,143.567,135.504,121.006
7867,143.484,135.081,120.975
7900,143.236,134.206,120.824
7933,142.830,132.921,120.555
7967,142.293,131.314,120.184
8000,141.668,129.519,119.742
8033,141.012,127.693,119.268
8067,140.384,125.998,118.807
8100,139.844,124.580,118.403
8133,139.439,123.550,118.094
8167,139.198,122.973,117.904
8200,139.135,122.859,117.846
8233,139.240,123.169,117.916
8267,139.489,123.821,118.098
8300,139.844,124.711,118.365
8333,140.262,125.725,118.685
8367,140.700,126.762,119.026
8400,141.124,127.745,119.359
8433,141.512,128.632,119.665
8467,141.853,129.419,119.932
8500,142.151,130.130,120.161
8533,142.417,130.810,120.359
8567,142.669,131.508,120.538
8600,142.924,132.262,120.710
8633,143.191,133.088,120.885
8667,143.470,133.966,121.066
8700,143.749,134.842,121.248
8733,144.006,135.635,121.417
8767,144.210,136.244,121.554
8800,144.328,136.566,121.636
8833,144.328,136.516,121.641
8867,144.188,136.041,121.551
8900,143.900,135.130,121.359
8933,143.473,133.826,121.067
8967,142.931,132.217,120.690
9000,142.313,130.430,120.254
9033,141.669,128.618,119.792
9067,141.053,126.935,119.343
9100,140.516,125.519,118.941
9133,140.098,124.476,118.620
9167,139.827,123.867,118.400
9200,139.715,123.702,118.294
9233,139.755,123.944,118.301
9267,139.928,124.516,118.408
9300,140.201,125.321,118.596
9333,140.541,126.253,118.841
9367,140.913,127.217,119.117
9400,141.287,128.144,119.403
9433,141.644,128.995,119.682
9467,141.976,129.766,119.943
9500,142.283,130.478,120.185
9533,142.572,131.173,120.409
9567,142.853,131.891,120.621
9600,143.135,132.665,120.825
9633,143.421,133.500,121.024
9667,143.706,134.374,121.216
9700,143.973,135.228,121.391
9733,144.202,135.982,121.537
9767,144.362,136.536,121.636
9800,144.427,136.794,121.671
9833,144.372,136.678,121.626
9867,144.182,136.141,121.493
9900,143.857,135.180,121.269
9933,143.409,133.843,120.963
9967,142.867,132.221,120.592
10000,142.269,130.442,120.182
10033,141.661,128.653,119.763
10067,141.093,127.004,119.367
10100,140.606,125.625,119.023
10133,140.234,124.616,118.754
10167,139.999,124.029,118.577
10200,139.906,123.870,118.496
10233,139.945,124.098,118.508
10267,140.098,124.638,118.602
10300,140.336,125.395,118.762
10333,140.631,126.269,118.968
10367,140.954,127.172,119.202
10400,141.284,128.043,119.449
10433,141.608,128.849,119.701
10467,141.923,129.590,119.951
10500,142.230,130.292,120.199
10533,142.537,130.993,120.447
10567,142.849,131.732,120.695
10600,143.170,132.534,120.943
10633,143.495,133.397,121.186
10667,143.810,134.292,121.413
10700,144.093,135.153,121.609
10733,144.319,135.895,121.756
10767,144.455,136.417,121.835
10800,144.476,136.624,121.830
10833,144.361,136.440,121.729
10867,144.102,135.826,121.529
10900,143.704,134.788,121.236
10933,143.190,133.378,120.866
10967,142.593,131.697,120.443
11000,141.956,129.875,119.997
11033,141.328,128.061,119.559
11067,140.756,126.405,119.160
11100,140.278,125.033,118.827
11133,139.922,124.038,118.575
11167,139.701,123.465,118.412
11200,139.615,123.311,118.339
11233,139.647,123.532,118.344
11267,139.774,124.047,118.412
11300,139.968,124.761,118.526
11333,140.200,125.574,118.669
11367,140.448,126.406,118.827
11400,140.698,127.199,118.992
11433,140.944,127.931,119.164
11467,141.190,128.607,119.343
11500,141.444,129.261,119.535
11533,141.717,129.935,119.747
11567,142.018,130.668,119.980
11600,142.346,131.483,120.232
11633,142.692,132.376,120.493
11667,143.038,133.309,120.746
11700,143.353,134.210,120.970
11733,143.603,134.986,121.138
11767,143.753,135.530,121.225
11800,143.772,135.744,121.213
11833,143.638,135.553,121.089
11867,143.348,134.918,120.852
11900,142.910,133.850,120.514
11933,142.354,132.411,120.097
11967,141.722,130.705,119.633
12000,141.063,128.873,119.159
12033,140.433,127.070,118.712
12067,139.881,125.446,118.328
12100,139.446,124.130,118.031
12133,139.153,123.210,117.836
12167,139.011,122.728,117.745
12200,139.010,122.673,117.751
12233,139.128,122.993,117.836
12267,139.335,123.601,117.977
12300,139.595,124.394,118.151
12333,139.878,125.271,118.338
12367,140.161,126.151,118.524
12400,140.433,126.979,118.705
12433,140.692,127.736,118.883
12467,140.951,128.439,119.069
12500,141.224,129.124,119.274
12533,141.529,129.841,119.511
12567,141.879,130.636,119.788
12600,142.277,131.534,120.104
12633,142.714,132.529,120.450
12667,143.166,133.579,120.804
12700,143.598,134.608,121.138
12733,143.968,135.513,121.420
12767,144.232,136.182,121.617
12800,144.353,136.508,121.702
12833,144.304,136.411,121.658
12867,144.077,135.849,121.481
12900,143.684,134.834,121.183
12933,143.156,133.430,120.789
12967,142.539,131.748,120.337
13000,141.893,129.934,119.872
13033,141.277,128.152,119.438
13067,140.749,126.558,119.074
13100,140.352,125.285,118.813
13133,140.114,124.424,118.670
13167,140.040,124.014,118.646
13200,140.118,124.042,118.729
13233,140.320,124.448,118.896
13267,140.607,125.138,119.116
13300,140.936,126.001,119.358
13333,141.271,126.931,119.596
13367,141.583,127.839,119.811
13400,141.859,128.672,119.997
13433,142.100,129.410,120.158
13467,142.321,130.073,120.306
13500,142.543,130.705,120.462
13533,142.793,131.364,120.645
13567,143.089,132.101,120.870
13600,143.442,132.950,121.144
13633,143.846,133.907,121.459
13667,144.280,134.934,121.797
13700,144.707,135.951,122.130
13733,145.080,136.853,122.418
13767,145.350,137.521,122.625
13800,145.471,137.840,122.714
13833,145.411,137.723,122.663
13867,145.155,137.123,122.460
13900,144.710,136.047,122.115
13933,144.107,134.559,121.652
13967,143.396,132.772,121.110
14000,142.638,130.837,120.539
14033,141.903,128.924,119.990
14067,141.254,127.198,119.511
14100,140.742,125.799,119.141
14133,140.402,124.825,118.902
14167,140.244,124.318,118.800
14200,140.256,124.268,118.823
14233,140.408,124.611,118.946
14267,140.656,125.250,119.134
14300,140.953,126.068,119.350
14333,141.252,126.950,119.559
14367,141.521,127.802,119.738
14400,141.739,128.563,119.872
14433,141.905,129.213,119.964
14467,142.033,129.771,120.027
14500,142.149,130.282,120.082
14533,142.281,130.811,120.154
14567,142.459,131.417,120.267
14600,142.699,132.140,120.433
14633,143.003,132.984,120.655
14667,143.356,133.918,120.919
14700,143.724,134.864,121.199
14733,144.061,135.719,121.457
14767,144.315,136.359,121.654
14800,144.436,136.666,121.748
14833,144.383,136.545,121.710
14867,144.135,135.943,121.520
14900,143.692,134.858,121.182
14933,143.079,133.350,120.714
14967,142.343,131.529,120.152
15000,141.547,129.547,119.547
15033,140.761,127.575,118.952
15067,140.057,125.786,118.422
15100,139.492,124.325,118.002
15133,139.107,123.299,117.721
15167,138.919,122.757,117.593
15200,138.923,122.693,117.611
15233,139.090,123.047,117.752
15267,139.377,123.719,117.980
15300,139.731,124.590,118.256
15333,140.101,125.539,118.538
15367,140.446,126.465,118.794
15400,140.739,127.298,119.004
15433,140.971,128.012,119.162
15467,141.150,128.620,119.277
15500,141.300,129.166,119.367
15533,141.452,129.715,119.459
15567,141.636,130.328,119.577
15600,141.875,131.051,119.742
15633,142.179,131.898,119.962
15667,142.538,132.841,120.232
15700,142.927,133.812,120.530
15733,143.304,134.710,120.826
15767,143.617,135.413,121.079
15800,143.815,135.803,121.249
15833,143.854,135.780,121.299
15867,143.705,135.283,121.206
15900,143.362,134.305,120.964
15933,142.841,132.897,120.584
15967,142.183,131.162,120.096
16000,141.446,129.247,119.546
16033,140.699,127.323,118.985
16067,140.014,125.562,118.469
16100,139.452,124.115,118.047
16133,139.061,123.094,117.756
16167,138.866,122.555,117.615
16200,138.868,122.499,117.625
16233,139.045,122.873,117.770
16267,139.356,123.582,118.017
16300,139.752,124.507,118.328
16333,140.179,125.525,118.661
16367,140.591,126.531,118.979
16400,140.956,127.448,119.254
16433,141.255,128.243,119.474
16467,141.492,128.921,119.639
16500,141.682,129.520,119.763
16533,141.852,130.100,119.867
16567,142.034,130.724,119.976
16600,142.251,131.438,120.112
16633,142.517,132.261,120.289
16667,142.832,133.171,120.506
16700,143.175,134.110,120.753
16733,143.513,134.982,121.004
16767,143.801,135.673,121.226
16800,143.991,136.067,121.380
16833,144.039,136.065,121.434
16867,143.915,135.605,121.360
16900,143.607,134.675,121.147
16933,143.126,133.317,120.801
16967,142.504,131.629,120.344
17000,141.793,129.751,119.813
17033,141.056,127.847,119.257
17067,140.361,126.087,118.727
17100,139.770,124.621,118.272
17133,139.334,123.563,117.931
17167,139.083,122.977,117.729
17200,139.025,122.869,117.675
17233,139.145,123.195,117.760
17267,139.411,123.866,117.959
17300,139.778,124.768,118.238
17333,140.197,125.784,118.559
17367,140.621,126.806,118.885
17400,141.013,127.757,119.186
17433,141.353,128.596,119.444
17467,141.634,129.322,119.652
17500,141.866,129.966,119.816
17533,142.069,130.581,119.951
17567,142.268,131.224,120.077
17600,142.484,131.939,120.212
17633,142.733,132.744,120.371
17667,143.016,133.623,120.557
17700,143.319,134.520,120.763
17733,143.615,135.349,120.973
17767,143.867,136.002,121.160
17800,144.034,136.371,121.293
17833,144.077,136.360,121.343
17867,143.968,135.912,121.286
17900,143.695,135.011,121.110
17933,143.264,133.699,120.817
17967,142.702,132.066,120.423
18000,142.053,130.244,119.958
18033,141.373,128.390,119.463
18067,140.723,126.667,118.981
18100,140.161,125.221,118.557
18133,139.733,124.163,118.229
18167,139.471,123.557,118.021
18200,139.387,123.414,117.946
18233,139.472,123.695,118.000
18267,139.701,124.319,118.167
18300,140.036,125.179,118.419
18333,140.435,126.164,118.726
18367,140.855,127.170,119.054
18400,141.261,128.123,119.374
18433,141.630,128.980,119.668
18467,141.953,129.736,119.924
18500,142.233,130.416,120.142
18533,142.482,131.064,120.329
18567,142.716,131.729,120.496
18600,142.952,132.451,120.658
18633,143.200,133.243,120.822
18667,143.460,134.086,120.991
18700,143.720,134.927,121.161
18733,143.956,135.683,121.318
18767,144.139,136.254,121.442
18800,144.234,136.537,121.510
18833,144.211,136.448,121.500
18867,144.047,135.931,121.394
18900,143.734,134.978,121.185
18933,143.279,133.630,120.874
18967,142.709,131.975,120.478
19000,142.061,130.143,120.021
19033,141.387,128.282,119.536
19067,140.738,126.549,119.062
19100,140.166,125.082,118.634
19133,139.712,123.987,118.285
19167,139.404,123.325,118.036
19200,139.252,123.105,117.898
19233,139.251,123.290,117.871
19267,139.381,123.805,117.943
19300,139.610,124.550,118.095
19333,139.904,125.422,118.301
19367,140.228,126.325,118.537
19400,140.554,127.190,118.780
19433,140.861,127.979,119.015
19467,141.142,128.686,119.232
19500,141.396,129.334,119.427
19533,141.631,129.964,119.603
19567,141.858,130.618,119.766
19600,142.086,131.327,119.920
19633,142.317,132.098,120.069
19667,142.545,132.908,120.209
19700,142.757,133.699,120.332
19733,142.930,134.390,120.425
19767,143.035,134.882,120.472
19800,143.045,135.080,120.454
19833,142.935,134.905,120.358
19867,142.692,134.311,120.173
19900,142.315,133.295,119.898
19933,141.816,131.905,119.542
19967,141.224,130.233,119.123
20000,140.579,128.406,118.665
20033,139.926,126.572,118.201
20067,139.314,124.880,117.761
20100,138.786,123.463,117.375
20133,138.377,122.419,117.067
20167,138.106,121.801,116.852
20200,137.981,121.614,116.737
20233,137.992,121.818,116.718
20267,138.119,122.339,116.784
20300,138.336,123.081,116.918
20333,138.612,123.944,117.102
20367,138.921,124.842,117.318
20400,139.241,125.712,117.551
20433,139.560,126.521,117.792
20467,139.873,127.272,118.035
20500,140.183,127.987,118.280
20533,140.496,128.706,118.529
20567,140.820,129.469,118.782
20600,141.156,130.299,119.040
20633,141.500,131.196,119.296
20667,141.840,132.128,119.540
20700,142.152,133.032,119.757
20733,142.410,133.821,119.930
20767,142.583,134.395,120.038
20800,142.645,134.658,120.066
20833,142.575,134.535,120.002
20867,142.364,133.986,119.842
20900,142.018,133.015,119.593
20933,141.559,131.678,119.270
20967,141.020,130.071,118.897
21000,140.445,128.327,118.504
21033,139.881,126.595,118.122
21067,139.375,125.022,117.781
21100,138.966,123.736,117.507
21133,138.681,122.828,117.318
21167,138.532,122.344,117.219
21200,138.519,122.281,117.210
21233,138.625,122.592,117.281
21267,138.827,123.199,117.417
21300,139.097,124.003,117.598
21333,139.404,124.908,117.808
21367,139.728,125.830,118.033
21400,140.052,126.713,118.266
21433,140.371,127.533,118.503
21467,140.689,128.296,118.747
21500,141.013,129.034,119.003
21533,141.355,129.789,119.276
21567,141.722,130.601,119.569
21600,142.113,131.493,119.878
21633,142.520,132.458,120.194
21667,142.923,133.459,120.499
21700,143.292,134.425,120.771
21733,143.592,135.261,120.984
21767,143.788,135.860,121.113
21800,143.849,136.125,121.138
21833,143.753,135.979,121.048
21867,143.495,135.384,120.840
21900,143.086,134.351,120.527
21933,142.554,132.940,120.131
21967,141.939,131.258,119.683
22000,141.294,129.443,119.220
22033,140.672,127.650,118.780
22067,140.122,126.031,118.397
22100,139.684,124.713,118.096
22133,139.383,123.786,117.892
