t_ms,r,g,b
0,140.326,128.326,118.326
33,139.633,126.241,117.850
67,139.018,124.406,117.424
100,138.555,123.037,117.100
133,138.289,122.263,116.911
167,138.231,122.110,116.864
200,138.359,122.509,116.945
233,138.626,123.314,117.124
267,138.974,124.349,117.360
300,139.350,125.446,117.620
333,139.718,126.488,117.878
367,140.064,127.424,118.128
400,140.396,128.274,118.375
433,140.738,129.104,118.638
467,141.117,130.000,118.932
500,141.548,131.020,119.267
533,142.025,132.169,119.636
567,142.515,133.377,120.010
600,142.960,134.505,120.345
633,143.288,135.368,120.587
667,143.428,135.774,120.683
700,143.325,135.571,120.594
733,142.959,134.691,120.307
767,142.348,133.168,119.839
800,141.555,131.148,119.239
833,140.673,128.866,118.577
867,139.812,126.605,117.936
900,139.079,124.644,117.396
933,138.557,123.207,117.018
967,138.292,122.424,116.835
1000,138.287,122.314,116.846
1033,138.502,122.790,117.019
1067,138.868,123.684,117.303
1100,139.306,124.797,117.634
1133,139.739,125.940,117.956
1167,140.114,126.978,118.228
1200,140.410,127.852,118.433
1233,140.636,128.583,118.580
1267,140.825,129.248,118.696
1300,141.022,129.948,118.814
1333,141.264,130.768,118.968
1367,141.570,131.733,119.171
1400,141.928,132.796,119.420
1433,142.297,133.835,119.685
1467,142.611,134.671,119.919
1500,142.797,135.111,120.068
1533,142.792,134.993,120.082
1567,142.554,134.230,119.931
1600,142.083,132.833,119.608
1633,141.414,130.926,119.138
1667,140.621,128.721,118.571
1700,139.798,126.487,117.975
1733,139.046,124.494,117.421
1767,138.449,122.972,116.974
1800,138.067,122.061,116.678
1833,137.919,121.798,116.552
1867,137.989,122.119,116.586
1900,138.233,122.881,116.751
1933,138.590,123.904,117.007
1967,138.998,125.014,117.308
2000,139.411,126.081,117.621
2033,139.803,127.044,117.926
2067,140.169,127.908,118.217
2100,140.525,128.734,118.503
2133,140.891,129.597,118.793
2167,141.281,130.559,119.097
2200,141.693,131.626,119.409
2233,142.102,132.736,119.710
2267,142.461,133.762,119.967
2300,142.710,134.531,120.138
2333,142.789,134.861,120.180
2367,142.653,134.613,120.066
2400,142.287,133.719,119.785
2433,141.710,132.217,119.357
2467,140.979,130.248,118.824
2500,140.179,128.038,118.250
2533,139.409,125.858,117.705
2567,138.764,123.976,117.257
2600,138.314,122.603,116.955
2633,138.097,121.861,116.823
2667,138.109,121.764,116.855
2700,138.313,122.223,117.019
2733,138.643,123.077,117.268
2767,139.027,124.134,117.548
2800,139.403,125.218,117.813
2833,139.727,126.204,118.034
2867,139.991,127.046,118.207
2900,140.210,127.773,118.347
2933,140.424,128.465,118.486
2967,140.676,129.225,118.658
3000,140.999,130.129,118.889
3033,141.401,131.196,119.186
3067,141.859,132.367,119.531
3100,142.319,133.504,119.884
3133,142.705,134.421,120.185
3167,142.936,134.915,120.374
3200,142.943,134.821,120.396
3233,142.689,134.051,120.221
3267,142.174,132.624,119.850
3300,141.448,130.672,119.315
3333,140.593,128.420,118.680
3367,139.718,126.147,118.023
3400,138.932,124.137,117.428
3433,138.330,122.625,116.968
3467,137.972,121.755,116.689
3500,137.878,121.565,116.608
3533,138.027,121.981,116.711
3567,138.362,122.853,116.959
3600,138.812,123.988,117.298
3633,139.303,125.199,117.673
3667,139.778,126.348,118.038
3700,140.203,127.363,118.366
3733,140.572,128.251,118.651
3767,140.902,129.070,118.900
3800,141.220,129.906,119.132
3833,141.550,130.828,119.366
3867,141.902,131.856,119.608
3900,142.264,132.939,119.852
3933,142.599,133.961,120.075
3967,142.854,134.755,120.241
4000,142.971,135.143,120.312
4033,142.903,134.981,120.255
4067,142.627,134.197,120.056
4100,142.153,132.817,119.721
4133,141.525,130.970,119.283
4167,140.817,128.869,118.792
4200,140.118,126.777,118.308
4233,139.514,124.953,117.894
4267,139.076,123.608,117.596
4300,138.844,122.866,117.440
4333,138.821,122.749,117.430
4367,138.981,123.178,117.544
4400,139.271,124.005,117.746
4433,139.629,125.049,117.994
4467,140.003,126.142,118.251
4500,140.357,127.169,118.497
4533,140.682,128.082,118.726
4567,140.990,128.906,118.950
4600,141.313,129.715,119.195
4633,141.683,130.600,119.481
4667,142.120,131.624,119.824
4700,142.621,132.794,120.217
4733,143.153,134.042,120.634
4767,143.656,135.225,121.028
4800,144.053,136.155,121.340
4833,144.267,136.632,121.511
4867,144.237,136.501,121.497
4900,143.936,135.683,121.277
4933,143.379,134.211,120.864
4967,142.624,132.226,120.302
5000,141.764,129.964,119.664
5033,140.911,127.708,119.032
5067,140.176,125.742,118.492
5100,139.648,124.296,118.110
5133,139.380,123.507,117.924
5167,139.378,123.399,117.940
5200,139.609,123.888,118.132
5233,140.006,124.810,118.447
5267,140.488,125.964,118.824
5300,140.977,127.160,119.203
5333,141.414,128.257,119.538
5367,141.773,129.192,119.807
5400,142.054,129.976,120.011
5433,142.288,130.683,120.172
5467,142.512,131.409,120.319
5500,142.763,132.234,120.482
5533,143.058,133.187,120.676
5567,143.390,134.222,120.900
5600,143.720,135.221,121.127
5633,143.991,136.012,121.319
5667,144.136,136.408,121.427
5700,144.095,136.254,121.407
5733,143.833,135.464,121.232
5767,143.350,134.055,120.899
5800,142.683,132.147,120.430
5833,141.900,129.952,119.874
5867,141.092,127.731,119.293
5900,140.354,125.752,118.754
5933,139.763,124.235,118.313
5967,139.374,123.316,118.011
6000,139.202,123.029,117.861
6033,139.230,123.308,117.853
6067,139.415,124.011,117.959
6100,139.699,124.961,118.141
6133,140.026,125.989,118.362
6167,140.355,126.974,118.591
6200,140.668,127.857,118.817
6233,140.966,128.654,119.040
6267,141.267,129.426,119.270
6300,141.595,130.253,119.522
6333,141.962,131.192,119.802
6367,142.363,132.249,120.102
6400,142.768,133.356,120.399
6433,143.123,134.380,120.652
6467,143.364,135.142,120.813
6500,143.424,135.455,120.836
6533,143.257,135.176,120.689
6567,142.844,134.238,120.361
6600,142.208,132.679,119.873
6633,141.409,130.644,119.271
6667,140.538,128.365,118.625
6700,139.701,126.120,118.012
6733,138.997,124.182,117.504
6767,138.504,122.768,117.158
6800,138.263,122.005,117.000
6833,138.270,121.905,117.026
6867,138.487,122.380,117.202
6900,138.844,123.263,117.477
6933,139.264,124.359,117.791
6967,139.677,125.483,118.092
7000,140.036,126.506,118.346
7033,140.324,127.376,118.542
7067,140.557,128.118,118.695
7100,140.772,128.815,118.833
7133,141.014,129.567,118.994
7167,141.320,130.457,119.207
7200,141.705,131.509,119.485
7233,142.150,132.670,119.816
7267,142.608,133.808,120.165
7300,143.008,134.742,120.480
7333,143.272,135.271,120.700
7367,143.330,135.230,120.772
7400,143.142,134.530,120.663
7433,142.706,133.184,120.368
7467,142.064,131.318,119.917
7500,141.292,129.151,119.363
7533,140.492,126.956,118.781
7567,139.770,125.011,118.249
7600,139.216,123.549,117.835
7633,138.891,122.714,117.588
7667,138.817,122.545,117.526
7700,138.976,122.973,117.639
7733,139.318,123.853,117.892
7767,139.777,124.999,118.240
7800,140.286,126.229,118.631
7833,140.790,127.408,119.026
7867,141.259,128.469,119.398
7900,141.687,129.415,119.740
7933,142.086,130.305,120.058
7967,142.478,131.217,120.366
8000,142.884,132.214,120.674
8033,143.305,133.310,120.984
8067,143.722,134.449,121.284
8100,144.095,135.510,121.546
8133,144.369,136.322,121.731
8167,144.486,136.710,121.802
8200,144.402,136.532,121.729
8233,144.098,135.719,121.502
8267,143.590,134.305,121.134
8300,142.930,132.424,120.663
8333,142.196,130.296,120.146
8367,141.480,128.186,119.647
8400,140.872,126.357,119.229
8433,140.441,125.018,118.939
8467,140.225,124.291,118.800
8500,140.222,124.191,118.810
8533,140.398,124.635,118.941
8567,140.695,125.468,119.152
